id,codigo,descripcion,marca,precio_actual,precio_actualizado
36614,R10910111B          ,ARBOL LEVAS -BH 173 - MEG/LAG/SC 1.9 TDI F9Q /2000,RN,"265761,0","305625,15"
36615,R10910111O,ARBOL PRIMARIO CAJA JR5 ORIG LOG/SAND/DUSTER,RN,"122248,0","140585,2"
36616,R10910112B          ,ARBOL LEVAS -BH 174 - MEG/LAG/SC 1.9 TDI F9Q 2001/,RN,"265761,0","305625,15"
36617,R10910112O,ARBOL PRIMARIO ORIG CLIO II,RN,"342836,0","394261,4"
36618,R10910114O,ARBOL PRIMARIO ORIG MEGANE II,RN,"122586,0","140973,9"
36619,R10910115A          ,ARBOL LEVAS        RENAULT MASTER 2.5TD 38-40mm,RN,"47967,5","55162,63"
36620,R10910115B          ,ARBOL LEVAS -BH 183 - MASTER 2.8 TDI TD BASE 38-40,RN,"122188,0","140516,2"
36621,R10910115O,ARBOL PRIMARIO ORIG SYMBOL,RN,"130335,0","149885,25"
36622,R10910120B          ,ARBOL LEVAS -BH 186 ADM. CLIO/MEG/SCE 1.6 16V K4M,RN,"278269,0","320009,35"
36623,R10910121B          ,ARBOL LEVAS -BH 187 ESC. CLIO/MEG/SCE 1.6 16V K4M,RN,"278269,0","320009,35"
36624,R10910124B          ,ARBOL DE LEVAS -BH 6188- CONJ.ADM/ESC + BALANC.K4M,RN,"847957,0","975150,55"
36625,R10910125O,ARBOL  DE LEVA ORIG K4M 1.6 16V ADMISION,RN,"250591,66","288180,41"
36626,R10910126O,ARBOL  DE LEVA ORIG K4M 1.6 16V ESCAPE,RN,"250591,66","288180,41"
36627,R10910127O,ARBOL LEVAS (F4R) ORIG MEGANE II,RN,"279971,0","321966,65"
36628,R1091012-A          ,ARBOL LEVAS RENAULT 11/9/12/18/19        1.6,RN,"133464,54","153484,22"
36629,R1091012-O,ARBOL LEVAS (S9W) ORIG MASTER II,RN,"345149,0","396921,35"
36630,R1091013-B          ,ARBOL LEVAS -BH 140 - RENAULT 18 / TRAFIC 2.1 DSL,RN,"301680,0","346932,0"
36631,R1091013-O,ARBOL LEVAS (ADM) (G9U) ORIG MASTER II,RN,"713874,0","820955,1"
36632,R1091014-B          ,ARBOL LEVAS -BH 148 - RENAULT 19    DIESEL 1.9 /96,RN,"67457,6","77576,24"
36633,R1091014-O,ARBOL LEVAS (ADM) (F4R) ORIG LAGUNA III,RN,"36204,0","41634,6"
36634,R1091015-O,TOPE ARBOL LEVAS (K7M) ORIG KANGOO,RN,"6155,0","7078,25"
36635,R1091016-B          ,ARBOL LEVAS -BH 151 - RENAULT CLIO/EXPR. 1.9 D /96,RN,"57819,3","66492,2"
36636,R1091017-O,ARBOL LEVAS (F9Q) ORIG KANGOO,RN,"112660,0","129559,0"
36637,R1091053--          ,ENGRANAJE INTERMEDIO DIESEL M/N R19/EXPRESS/CLIO,RN,"36308,92","41755,26"
36638,R1091054--          ,"ENGRANAJE INTERMEDIO NAFTA     R 19  1,7",RN,"48771,67","56087,42"
36639,R1091055--          ,ENGRANAJE INTERMEDIO    R 18 DIESEL,RN,"38967,84","44813,02"
36640,R109106--O,TAPA ENGRANAJE INTERMEDIO (G9U) ORIG MASTER II,RN,"30808,0","35429,2"
36641,R109106--S          ,TAPA ENGRANAJE INTERMEDIO   KANGOO 1.9,RN,"41102,65","47268,05"
36642,R1091077-S,TAPA CORREA DISTRIBUCION R19/CLIO DIESEL,RN,"8010,67","9212,27"
36643,R10910711O,CUBIERTA INF TAPA DISTRIB (N7Q) ORIG LAGUNA,RN,"5036,0","5791,4"
36644,R10910714O,TAPA DISTRIBUCION SUP (alum) (K4M) ORIG MEGANE III,RN,"554950,0","638192,5"
36645,R10910716O,TAPA DISTRIBUCION (F7P) ORIG R 19,RN,"11759,0","13522,85"
36646,R10910720O,TAPA DISTRIBUCION INTERIOR (K9K) ORIG LOG/SAND,RN,"37855,0","43533,25"
36647,R10910722O,TAPA DISTRIBUCION MOTOR (K4M) ORIG SYMB/CLIO II,RN,"43912,0","50498,8"
36648,R1091072TA          ,TRABA CAÑO PARA TAPA DISTRIBUCION R1091072-A,RN,"628,0","722,2"
36649,R1091073-A          ,TAPA DISTRIBUCION ADAPTABLE  EXP/TRAF/MEG/SCEN F8Q,RN,"11317,0","13014,55"
36650,R1091073-O          ,TAPA DISTRIBUCION ORIG TRAFIC/MEGANE/SCENIC F8Q,RN,"27613,23","31755,21"
36651,R1091074-A          ,TAPA DISTRIBUCION ADAPT MEGANE2/DUSTER/SANDERO K4M,RN,"39738,0","45698,7"
36652,R1091075-A          ,TAPA DISTRIBUCION ADAPTA LOGAN/SANDERO/KANGOO K7M,RN,"17775,8","20442,17"
36653,R1091075-O          ,TAPA DISTRIBUCION ORIG LOGAN/SANDERO/KANGOO K7M,RN,"27432,91","31547,85"
36654,R1091078-O,TAPA DISTRIBUCION (F3R) ORIG,RN,"37817,0","43489,55"
36655,R1091079-O,TAPA DISTRIBUCION SUP (F3N) ORIG R 19/21,RN,"17535,0","20165,25"
36656,R10911110-          ,ENGRANAJE ARBOL LEVAS      MASTER,RN,"65021,24","74774,43"
36657,R10911111-          ,ENGRANAJE ARBOL LEVAS       CLIO2 M/N  K9K  1.5,RN,"62856,83","72285,35"
36658,R10911112-          ,ENGRANAJE ARBOL LEVAS    MEGANE TDI 1.9,RN,"42535,3","48915,6"
36659,R10911114-          ,ENGRANAJE ARBOL DE LEVAS CLIO 2 1.2,RN,"43362,32","49866,67"
36660,R1091111-N          ,POLEA ARBOL DE LEVAS   R 6,RN,"9983,69","11481,24"
36661,R1091112--          ,ENGRANAJE ARBOL LEVAS DIESEL M/V R 19/EXPRESS,RN,"37778,06","43444,77"
36662,R1091113--          ,ENGRANAJE ARBOL LEVAS DIESEL M/N  R 19/EXP/CLIO,RN,"37778,06","43444,77"
36663,R1091114--          ,ENGRANAJE ARBOL LEVAS  MOT.D7F  TWINGO,RN,"42745,18","49156,96"
36664,R1091116--          ,ENGRANAJE ARBOL LEVAS  MOT. F3R  MEGANE 2.0,RN,"39387,12","45295,19"
36665,R1091117--          ,ENGRANAJE ARBOL LEVAS  MOT. K9K  CLIO 2,RN,"41731,6","47991,34"
36666,R1091119-O,ENGRANAJE ARBOL LEVAS (J8S) ORIG TRAFIC,RN,"39210,5","45092,08"
36667,R109111--N          ,POLEA ARBOL DE LEVAS   R 4,RN,"4736,0","5446,4"
36668,R10911935S          ,KIT DISTRIBUCION SKF VKMA06129 MEGANE II F9Q**,RN,"290966,84","334611,87"
36669,R10911936S          ,KIT DISTRIBUCION SKF VKMA06201     FUEGO 2.0 J8S**,RN,"318224,0","365957,6"
36670,R10911938S          ,KIT DISTRIBUCION SKF VKMA06123A SCENIC/MEG F3R**,RN,"331407,61","381118,75"
36671,R109119---          ,CADENA DE DISTRIBUCION R 9/11/12/18/CLIO,RN,"13440,0","15456,0"
36672,R10911911C          ,CORREA DISTRIB.153x30 CONTINENTAL-MASTER S8W**,RN,"119010,0","136861,5"
36673,R10911911S          ,KIT DISTRIBUCION SKF VKMA06117 MEG/SCENIC 1.9TD**,RN,"642677,28","739078,87"
36674,R10911912C          ,CORREA DISTRIB.89 x 25-CONTINENTAL- MASTER G8U**,RN,"64963,5","74708,03"
36675,R10911912O          ,KIT DISTRIBUCION ORIG MEGANE TDI 03/  F9Q,RN,"735262,98","845552,43"
36676,R10911912S          ,KIT DISTRIBUCION SKF VKMA06128 MEG/SCE. 1.9TD 03/,RN,"991953,61","1140746,65"
36677,R10911913C          ,CORREA DISTRIB.CONTINENTAL152x300-MASTER2.5D S8U**,RN,"133838,0","153913,7"
36678,R10911913K,KIT DISTRIBUCION-INA 530018510-CLIO/KANGOO F8Q,RN,"331015,29","380667,58"
36679,R10911914H          ,CORREA DISTRIB.154x30 HUTCHINSON MASTER 2.8 TDI**,RN,"172477,0","198348,55"
36680,R10911915-          ,KIT DISTRIBUCION CLIO/KANGOO/MEGANE/SANDERO K4M,RN,"186684,75","214687,46"
36681,R10911915KC         ,KIT DISTRIBUCION CONTITECH CT1126 K1 MEG/CLIO K4M,RN,"319460,06","367379,07"
36682,R10911915C          ,CORREA DISTRIB.128 x 27-CONTINENTAL- MEG/2.0 F4R**,RN,"104949,0","120691,35"
36683,R10911915KH         ,KIT DISTRIBUCION HUTCHINSON KH132 CLIO/MEG K4M,RN,"393637,0","452682,55"
36684,R10911915I,KIT DISTRIBUCION  IMP.  LOG/MEG/CLIO/KAN K4M,RN,"119373,0","137278,95"
36685,R10911915L,KIT DISTRIBUCION-INA 530073710-DUS/LOG K4M,RN,"257124,87","295693,6"
36686,R10911915P          ,KIT DISTRIBUCION CLIO/KANGOO/LOGAN/SANDERO K4M,RN,"176313,38","202760,39"
36687,R10911915R          ,SUPER KIT DISTRIB SKF VKMC06020A1/R KANGOO 1.6 K4M,RN,"692497,48","796372,1"
36688,R10911916A          ,CORREA DISTRIBUCION SKF 132SP270H 1.6 16V K4M,RN,"62007,85","71309,03"
36689,R10911916C          ,CORREA DISTRIB.CONTINENTAL132x270 MEG1.6 16V.K4M**,RN,"62421,37","71784,58"
36690,R10911916H          ,CORREA DISTRIB.132x270HUTCHINSON MEG.1.6 16v.K4M**,RN,"116423,0","133886,45"
36691,R10911916O,CORREA ALTERNADOR ORIGINAL CLIO 1.6 S/AAC,RN,"11849,0","13626,35"
36692,R10911916S          ,KIT DISTRIBUCION SKF VKMA06114A S/ENG.INT.R19 D,RN,"318637,6","366433,24"
36693,R10911917S          ,KIT DISTRIBUCION SKF VKMA06503 MOTOR 2.2 MASTER**,RN,"278939,54","320780,47"
36694,R10911918C          ,CORREA DISTRIB.Z=133X26 -CONT-       MEG2 DCI**,RN,"65410,8","75222,42"
36695,R10911919C          ,CORREA DISTRIB.Z=126X27 -CONT-MEG2 / F4R 2.0**,RN,"116837,0","134362,55"
36696,R10911919K,KIT DISTRIBUCION LOG/SAN 1.6 8V CONTI CT988K3 M/V,RN,"372114,0","427931,1"
36697,R10911919R          ,KIT DISTRIBUCION SKF-VKMA06136 -KANGOO 1.5 DCI K9K,RN,"283889,9","326473,39"
36698,R10911919T          ,SUPER KIT DISTRIB SKF VKMC06009A1/R  LOGAN 1.6 K7M,RN,"337091,71","387655,47"
36699,R1091191-C          ,CORREA DISTRIB.Z 95 x23.4-CONTINENTAL-CLIO2 1.2**,RN,"40047,27","46054,36"
36700,R10911921O          ,KIT DISTRIBUCION ORIG MEGANEII/FLUENCE/DUSTER F4R,RN,"519639,28","597585,17"
36701,R10911922O          ,KIT DISTRIBUCION DUSTER/MEG3/FLUENCE ORIGINAL K4M,RN,"375706,39","432062,35"
36702,R10911922S          ,KIT DISTRIBUCION FLUENCE/MEG3 K4M SKF 06021A,RN,"507954,23","584147,36"
36703,R10911922T,KIT DISTRIBUCION FLUENCE/MEG3 K4M INA 530063910,RN,"452061,26","519870,45"
36704,R10911923C          ,CORREA DISTRIB.-CONTINENTAL118 x 190 R18 /21/2.2**,RN,"42440,0","48806,0"
36705,R10911923K          ,KIT DISTRIBUCION CONTINENTAL 118 x 190 R18 /21/2.2,RN,"321365,0","369569,75"
36706,R10911923O,CORREA DISTRIBUCION ORIG FLUENCE / DUSTER F4R 2.0,RN,"142803,0","164223,45"
36707,R10911924S          ,KIT DISTRIBUCION SKF VKMA02386 MASTER II 2.8 DTI**,RN,"392781,14","451698,31"
36708,R10911925H          ,CORREA DISTRIB.148x254 HUTCHINSON R18-TRAFIC-D**,RN,"51310,7","59007,31"
36709,R10911925O,CORREA DISTRIB (S9W) ORIG MASTER II,RN,"153472,0","176492,8"
36710,R10911925S          ,KIT DISTRIBUCION SKF VKMA02986 MASTER II 2.8 DTI**,RN,"282722,47","325130,84"
36711,R10911926H          ,CORREA DISTRIB.Z=125 HUTCHINSON       R19 1.8 8v**,RN,"55236,3","63521,75"
36712,R10911926O,CORREA DIST Z=125 ORIGINAL R 19 1.7/1.8 8V,RN,"51343,85","59045,43"
36713,R10911927C          ,CORREA DISTRIB. Z=153 X 254-CONTINENTAL-R19 D96/**,RN,"61294,8","70489,02"
36714,R10911927O,CORREA DISTRIB ORIG MASTER II,RN,"43964,9","50559,64"
36715,R10911928H          ,CORREA DISTRIB.Z=153 X 254  HUTCHINSON R19 D /96**,RN,"58859,5","67688,43"
36716,R10911928O,CORREA DISTRIBUCION ORIG MEGANE II  1.9 Tdi  F9Q,RN,"46963,97","54008,57"
36717,R10911929C          ,CORREA DISTRIB. Z=87 -CONTINENTAL-   TIWNGO D7F**,RN,"39998,0","45997,7"
36718,R1091192-K,KIT DISTRIBUCION-INA 530018310- R19/MEGANE F8Q,RN,"321102,93","369268,37"
36719,R1091192KC          ,KIT DISTRIBUCION CONTINENTAL 123x270-CLIO2 1.5 K9K,RN,"300657,0","345755,55"
36720,R1091192MC          ,CORREA DISTRIB.CONTI 119X27 KANGOO/CLIO 1.5 K9K,RN,"107761,0","123925,15"
36721,R1091192-S          ,KIT DISTRIBUCION SKF VKMA06124A  C/ENGR.  R 19 D**,RN,"352510,72","405387,33"
36722,R10911930C          ,CORREA DISTRIB.CONTINENTAL118x19 D/CUADRADO R/18**,RN,"35792,0","41160,8"
36723,R10911930O,"KIT DISTRIBUCION MOTOR F9Q 1,9 TDI",RN,"367238,05","422323,76"
36724,R10911931O,CADENA DISTRIBUCION (2TR) ORIG KOLEOS,RN,"42429,0","48793,35"
36725,R10911931S          ,KIT DISTRIBUCION SKF VKMA03902 LAGUNA II 3.0 V6**,RN,"1097976,2","1262672,63"
36726,R10911932K,KIT DISTRIBUCION-INA 530001810- 19/CLIO 1.2 8V,RN,"120881,45","139013,67"
36727,R10911932O,CADENA DISTRIBUCION (B4D) ORIG KWID,RN,"152543,0","175424,45"
36728,R10911932S          ,KIT DISTRIBUCION SKF VKMA06000A MEGANE1.6 8V K7M**,RN,"113620,56","130663,64"
36729,R10911933O,CORREA DISTRIBUCION ORIGINAL K7M  11/,RN,"36501,5","41976,73"
36730,R10911933S          ,KIT DISTRIBUCION SKF VKMA06108   CLIO II 2.0 F4R**,RN,"769908,86","885395,19"
36731,R10911934O,CADENA DISTRIBUCION ORIG R6/9/11/12/18/CLIO/TWINGO,RN,"14523,0","16701,45"
36732,R10911935O,KIT CADENA BOMBA ACEITE ORIGINAL F9Q,RN,"51904,3","59689,95"
36733,R10911936O,GUIA TENSOR CADENA DISTRIBUCION ORIG KOLEOS 2TR,RN,"133462,15","153481,47"
36734,R10911939K,KIT DISTRIBUCION-INA 530063810-DUST/CLIO 2.0 F4R,RN,"383291,69","440785,44"
36735,R1091193-A          ,CORREA DISTRIBUCION SKF 151SP254/1 CLIO/EXPR DSL,RN,"35315,47","40612,79"
36736,R1091193-C          ,CORREA DISTRIB.CONTINENTAL151x254-CLIO/EXP DIES**,RN,"40266,8","46306,82"
36737,R1091193CC          ,CORREA DISTRIB.Z151 HTDA CONTINENTAL CLIO MEG/KA**,RN,"45098,2","51862,93"
36738,R1091193-H          ,CORREA DISTRIB.HUTCHINSON151x254 CLIO-KANGOO D.**,RN,"45275,3","52066,6"
36739,R1091193-K,KIT DISTRIBUCION-INA 530010710- CLIO/TRAFF 1.8,RN,"247603,39","284743,9"
36740,R1091193-O,CORREA DISTRIB. MOTRIO CLIO/KANGOO/MEGANE,RN,"40648,0","46745,2"
36741,R10911940B          ,KIT DISTRIBUCION COMP.BTP          FLUENCE 2.0 M4R,RN,"369507,6","424933,74"
36742,R10911941O          ,KIT DISTRIBUCION ORIGINAL DUSTER 4X4 2.0 F4R,RN,"280097,0","322111,55"
36743,R10911944S          ,KIT DISTRIBUCION SKF06021A1 DUSTER K4M C/CORREATEF,RN,"238780,99","274598,14"
36744,R10911945B          ,KIT DISTRIBUCION BTP                      KWID 1.0,RN,"361296,32","415490,77"
36745,R10911945O          ,KIT DISTRIBUCION ORIGINAL KWID 1.0 B4D,RN,"251802,28","289572,62"
36746,R1091194-C          ,CORREA DISTRIB.96 x 170- K7M M/N  KANG 1.6**,RN,"41653,92","47902,01"
36747,R1091194-O,CORREA DIST (J8S) ORIG MASTER,RN,"123594,0","142133,1"
36748,R1091194-S          ,KIT DISTRIBUCION SKF VKMA6107 MEGANE2/SCEN2 2.0**,RN,"803485,99","924008,89"
36749,R10911951O          ,KIT DISTRIBUCION ORIG K4M KANG/DUSTER/CLIO/SANDERO,RN,"541343,25","622544,74"
36750,R10911954O          ,KIT DISTRIBUCION ORIG MOTRIO KANGOO/CLIO2/MEG K7M,RN,"59234,33","68119,48"
36751,R10911961C          ,KIT DISTRIBUCION CONTITECH CT1025K1-LAG II TDI 03/,RN,"425291,0","489084,65"
36752,R1091196-O,CORREA DISTRIBUCION (N7Q) ORIG LAGUNA,RN,"123594,0","142133,1"
36753,R1091197-H          ,CORREA DISTRIB.Z=148 HUTCHINSON   LAGUNA 2.0 16v**,RN,"133473,0","153493,95"
36754,R1091197KC          ,KIT DISTRIBUCION CONTITECH CT1045 K1 CLIO D4F 1.2,RN,"220425,74","253489,6"
36755,R1091197XK          ,KIT DISTRIBUCION C/BOMBA INA 5300195300A1 CLIO D4F,RN,"305400,99","351211,14"
36756,R1091198-K,KIT DISTRIBUCION-INA 530049010-CLIOII/KANG   K7M,RN,"146834,57","168859,76"
36757,R1091198-O,CORREA DISTRIBUCION (F8Q) ORIG KANGOO EXPRESS,RN,"42298,93","48643,77"
36758,R1091198-S          ,KIT DISTRIBUCION SKF VKMA06003A      KANGOO 1.4**,RN,"140697,72","161802,38"
36759,R1091199-C          ,CORREA DISTRIB.Z=259 -CONTINENTAL-LAGUNA 3.0 V6**,RN,"392950,0","451892,5"
36760,R1091199-K,KIT DISTRIBUCION-INA 530019710-CLIO/LOG 1.5 DCI,RN,"209023,32","240376,82"
36761,R1091199-R          ,KIT DISTRIBUCION LOGAN/MEGANE2/SANDERO/CLIO II K9K,RN,"132546,17","152428,1"
36762,R1091199-S          ,KIT DISTRIBUCION SKF VKMA6134A-      CLIO 2/1.5**,RN,"209829,76","241304,22"
36763,R109119--H          ,CORREA DISTRIB.Z=95 HUTCHINSON-   MEGANE 1.6 K7M**,RN,"48897,8","56232,47"
36764,R109119-KC          ,KIT DISTRIBUCION 95 x 170-CONTINENTAL-MEG 1.6 K7M,RN,"161066,0","185225,9"
36765,R109119--O          ,KIT DISTRIBUCION ORIG KANGOO/CLIO2/MEGANE K7M  /10,RN,"166477,47","191449,09"
36766,R109200--X          ,KIT TAPAS CORREA DISTRIB. IMP. CLIO2/KAN/MEG-K9K**,RN,"161902,0","186187,3"
36767,R10924329O,TENSOR CORREA ORIG R 9/11,RN,"26442,0","30408,3"
36768,R10924332O,TENSOR DE CADENA DE DISTRIBUCION ORIG KOLEOS,RN,"216752,0","249264,8"
36769,R10924313S          ,TENSOR DISTRIBUCION VKM36035 MEG./SCENIC 1.9D**,RN,"395517,25","454844,84"
36770,R10924310S          ,TENSOR DISTRIBUCION VKM22385 MASTER 2.5/2.8**,RN,"126438,01","145403,71"
36771,R10924311I          ,TENSOR CORREA DISTRIB. IMP.  MOTOR K4M,RN,"46879,13","53911,0"
36772,R10924311R          ,TENSOR CORREA DISTRIBUCION CLIO/DUSTER/K4M,RN,"54478,76","62650,57"
36773,R10924311S          ,POLEA MOVIL DISTRIB.SKF -VKM 16020- CLIO/MEG 16V**,RN,"176358,93","202812,77"
36774,R10924311T,POLEA MOVIL DIST.-INA(F-550228)-CLIOII/DUST/SYMBOL,RN,"122156,49","140479,96"
36775,R10924312S          ,TENSOR POLY V VKM36031H LAGUNA/MEG/CLIO 1.4**,RN,"20771,87","23887,65"
36776,R10924312T          ,TENSOR POLY V INA-532024310- LAGUNA/MEGAN/CLIO 1.4,RN,"31423,42","36136,93"
36777,R10924313R          ,TENSOR CORREA ALTERN. KANG/MEG/SCEN TD 1.9 02/,RN,"182536,2","209916,63"
36778,R10924314E          ,TENSOR DISTRIBUCION  MEGANE /SCENIC 1.9D,RN,"39716,6","45674,09"
36779,R10924314R          ,TENSOR DISTRIBUCION T/ORIG MEG1.4-1.6 CL 1.2-1.4,RN,"11661,0","13410,15"
36780,R10924315I,TENSOR DISTRIBUCION IMP.CLIO/ESP/LAG/MEG 16V,RN,"29384,03","33791,63"
36781,R10924315O,TENSOR CORREA DIST (G9U) ORIG MASTER II,RN,"37021,6","42574,84"
36782,R10924315P          ,TENSOR DISTRIBUCION  TIPO/VKM 16000  R19/CLIO/KANG,RN,"37212,49","42794,36"
36783,R10924315R          ,TENSOR DISTRIBUCION T/ORIG.CLIO/ESP/LAG/MEG16V,RN,"39136,0","45006,4"
36784,R10924315S          ,POLEA MOV/ DIST.95D SKF -VKM16000H-CLIO 1.4 E6J**,RN,"38973,43","44819,44"
36785,R10924315T,TENSOR DIST.MOVIL-INA(F-123958)-CLIO/KANGOO,RN,"43489,5","50012,93"
36786,R10924316I,POLEA DISTRIB.MOVIL IMP CLIO/KANG/LOG/MEG/SYM,RN,"22907,95","26344,14"
36787,R10924316O,TENSOR CADENA DISTRIBUCION (VQ35DE) ORIG KOLEOS,RN,"247805,0","284975,75"
36788,R10924316P          ,POLEA DISTRIB.MOVIL CLIO 1.6 K7M  KANG/LOG/MEG/SYM,RN,"41485,5","47708,33"
36789,R10924317E,POLEA MOV/ DISTRIB.IMP. CLIO/MEG 1.5 D,RN,"40325,6","46374,44"
36790,R10924317I,POLEA TENSOR DIST.  IMP. CLIO/MEG/LOG/SAND/SYM 1.5,RN,"35183,51","40461,04"
36791,R10924317P          ,POLEA TENSOR DIST.CLIO/MEG/LOG/SAND/SYM 1.5 DCI,RN,"65484,86","75307,59"
36792,R10924317R          ,TENSOR DISTRIBUCION T/ORIG.CL/KAN/LAG/K4J K4M K7M,RN,"58977,1","67823,67"
36793,R10924317T,POLEA TENS.DIST.MOV.-INA531054710 CLIO/KAN/LOG K9K,RN,"62016,01","71318,41"
36794,R10924318E,POLEA FIJA DISTRIB. IMP. LAGUNA 1.8/2.0,RN,"34604,0","39794,6"
36795,R10924318F          ,POLEA FIJA DISTRIBUCION  EXPRESS/LAGUNA 1.8-2.0,RN,"109517,48","125945,1"
36796,R10924319E          ,TENSOR POLEA DISTRIBUCION FIJO R18/21/TRAFFIC DSL,RN,"32574,0","37460,1"
36797,R10924319T,POLEA FIJA DIST.-INA(F-37734.2)-R18/TRAFFIC,RN,"170854,56","196482,74"
36798,R1092431-E          ,TENSOR POLEA DISTRIBUCION  FIJO CLIO 1.8/9/2.0,RN,"49296,0","56690,4"
36799,R1092431-S          ,POLEA FIJA DISTRI.SKF-VKM 26101H-CLIO  1.8/9/2.0**,RN,"40432,32","46497,17"
36800,R10924320O,POLEA BBA DIR ASIST (G9U) ORIG MASTER II,RN,"57031,1","65585,77"
36801,R10924320S          ,TENSOR DISTRIBUCION VKM36016- LAGUNA/SCENIC 1.9**,RN,"197846,9","227523,94"
36802,R10924321S          ,TENSOR DISTRIBUCION VKM22385-  MASTER 2.5**,RN,"126438,01","145403,71"
36803,R10924323E,POLEA TENSOR CORREA IMP.LAGUNA 2.2 D,RN,"38972,5","44818,38"
36804,R10924323O,POLEA TENSOR POLI V (G8T) ORIG LAGUNA,RN,"39372,9","45278,84"
36805,R10924323R          ,TENSOR DISTRIBUCION T/ORIG. R19 16V CLIO 16V MEG.,RN,"42927,0","49366,05"
36806,R10924323S          ,TENSOR DISTRIBUCION VKM26128- MEGANE 1.9 TDI 03/**,RN,"212214,89","244047,12"
36807,R10924324O,TENSOR CORREA DISTRIB (F9Q) ORIG MEGANE,RN,"41820,1","48093,12"
36808,R10924324R          ,TENSOR DISTRIBUCION T/ORIG. R19/11/9/SCENIC DCI,RN,"46431,0","53395,65"
36809,R10924325E          ,TENSOR POLEA DISTRIBUCION  MASTER G9U /LAGUNA II,RN,"37600,0","43240,0"
36810,R10924325R          ,POLEA DISTRIBUCION VKM 26503 MASTER G9U /LAGUNA II,RN,"49782,6","57249,99"
36811,R10924325S          ,TENSOR DISTRIBUCION VKM26503           LAGUNA II**,RN,"39543,0","45474,45"
36812,R10924326E          ,TENSOR DISTRIBUCION CLIO II 1.2 16V TW. 01/,RN,"40934,6","47074,79"
36813,R10924326R          ,TENSOR DISTRIBUCION T/ORIG.CLIO II 1.2 16V TW. 01/,RN,"101716,0","116973,4"
36814,R10924326T,TENSOR DISTRIBUCION-INA- 531040410            CLIO,RN,"63340,4","72841,46"
36815,R10924327-          ,TENSOR CADENA DISTRIB. COMP. R9/11/12/18 1.3-1.4,RN,"24875,61","28606,95"
36816,R10924327F          ,POLEA ALTERNADOR KANGOO/CLIO II/TWINGO D4F 1.2 16V,RN,"53410,22","61421,75"
36817,R10924327K          ,TENSOR CADENA DISTRIBUCION R 9/11/12   1.6,RN,"32079,0","36890,85"
36818,R10924328R          ,TENSOR DISTRIBUCION T/ORIG.LOGAN/SAND.8V K7M 2010/,RN,"101206,0","116386,9"
36819,R10924328S          ,TENSOR DISTRIBUCION VKM16003-SAN-LOG-CLIO1.4 E6J**,RN,"36253,52","41691,55"
36820,R10924329R          ,TENSOR DISTRIBUCION T/ORIG CLIO/KANG/MEG  1.4-1.6,RN,"47666,0","54815,9"
36821,R10924329S          ,TENSOR DISTRIB SKF -VKM16009A  LOGAN/SAND 8V K7M**,RN,"147635,06","169780,32"
36822,R1092432-O,TENSOR DISTRIB (VQ35DE/V4Y) ORIG,RN,"301775,0","347041,25"
36823,R10924330S          ,TENSOR DISTRIBUCION VKM16550 CLIO2/MEG2/SCE2/LAG**,RN,"288971,68","332317,43"
36824,R10924331R          ,POLEA FIJA DISTRIBRIBUCION CLIOII/MEG/SCE 2.0 16V,RN,"25015,76","28768,12"
36825,R10924332S          ,POLEA FIJA DISTRIB.SKF VKM26105 CLIO2/MEG2**,RN,"46669,39","53669,8"
36826,R10924333R          ,POLEA FIJA DISTRIBUCION MEGANE2/SCENIC/SCENIC 2,RN,"269240,9","309627,04"
36827,R10924335R          ,TENSOR POLY V T/ORIGINAL KOLEOS 2.5,RN,"305955,56","351848,89"
36828,R10924337O,PATIN CADENA DISTRIBUCION ORIG KWID,RN,"17991,0","20689,65"
36829,R10924337R          ,POLEA TENSOR POLY V  MASTER 2.8,RN,"39929,79","45919,26"
36830,R10924339F          ,POLEA ALTERNADOR CLIO MIO,RN,"39690,94","45644,58"
36831,R1092433-O,TENSOR DISTRIBUCION (N7Q) ORIG LAGUNA,RN,"50598,8","58188,62"
36832,R10924340R          ,TENSOR POLY V CORREA ALTER. MASTER 2.8 03/06,RN,"47625,35","54769,15"
36833,R10924341I,TENSOR DISTRI. IMP.  CLIO/MEGAN/ FLUENCE 1.6 16V K,RN,"43167,46","49642,58"
36834,R10924342I,TENSOR POLY V IMP.  MASTER 2.5 DCI 2006,RN,"23584,55","27122,23"
36835,R10924343O,TENSOR CORREA (F8Q) ORIG CLIO II/KANG,RN,"43337,7","49838,36"
36836,R10924343S          ,TENSOR DISTRIBUCIONSKF-VKM16023 MEGAN II 1.6 16v**,RN,"140425,69","161489,54"
36837,R10924344O,TENSOR CORREA ALTERNADOR ORIG LOGAN/SANDERO/KANGOO,RN,"310692,0","357295,8"
36838,R10924345R          ,TENSOR CORREA DISTRIBUCION LAGUNA DIESEL G8T,RN,"40405,0","46465,75"
36839,R10924346R          ,TENSOR CORREA DISTRIBUCION MEGANE/LAGUNA F4R,RN,"58079,7","66791,66"
36840,R10924347R          ,TENSOR CORREA DISTRIBUCION MEGANE 03/  F9Q,RN,"104958,32","120702,07"
36841,R10924349R          ,TENSOR CORREA ALTERNADOR   FLUENCE 2.0,RN,"114717,0","131924,55"
36842,R1092434-F          ,POLEA FIJA DISTRIB. VKM26102 CLIO/R19/EXP/KANG 16V,RN,"102117,06","117434,62"
36843,R1092434-R          ,POLEA TENSOR FIJO DIST KANGOO/EXPRESS/CLIO/R19,RN,"37751,81","43414,58"
