id,codigo,descripcion,marca,precio_actual,precio_actualizado
35896,R0110313-O,CRIQUE ORIG CLIO II,RN,"62631,8","72026,57"
35897,R0110314-O,CRIQUE ORIG MEGANE II / MEGANE III,RN,"46576,0","53562,4"
35898,R0110315-O,CRIQUE COMPLETO (17mm) ORIG MEGANE 96/,RN,"42467,6","48837,74"
35899,R0110316-O,CRIQUE ORIG LAGUNA III,RN,"127088,96","146152,3"
35900,R0110317-O,CRIQUE ORIG CLIO (fase1/2),RN,"67018,85","77071,68"
35901,R0121211-O,SOPORTE PATENTE ORIG,RN,"885,0","1017,75"
35902,R0121212--          ,SOPORTE RUEDA AUXILIO   EXPRESS,RN,"18203,0","20933,45"
35903,R0121215--          ,SOPORTE RUEDA AUXILIO    SANDERO,RN,"51404,95","59115,69"
35904,R0121217--          ,SOPORTE RUEDA AUXILIO       CLIO,RN,"51404,95","59115,69"
35905,R0121219-O,SOPORTE RUEDA AUX ORIG SCENIC II,RN,"286319,0","329266,85"
35906,R012121--O,SOPORTE FIJACION RUEDA/AUX ORIG LOG/SAND,RN,"26950,0","30992,5"
35907,R012219--O,LLAVE RUEDA ORIG KANGOO,RN,"49807,0","57278,05"
35908,R0123192--          ,ANTIRROBO RUEDA DE AUXILIO   CLIO,RN,"8308,0","9554,2"
35909,R018903---          ,CHAPON CUBRE CARTER  CLIO MIO,RN,"235235,0","270520,25"
35910,R0189031-O,CUBIERTA INF MOTOR (QR25DE) ORIG KOLEOS,RN,"894069,0","1028179,35"
35911,R0189032--          ,CHAPON CUBRE CARTER KWID,RN,"111638,0","128383,7"
35912,R0189034-O,CUBIERTA INF MOTOR (K9K) ORIG DUSTER,RN,"403202,0","463682,3"
35913,R1993139-S,CUNA MOTOR MEGANE III/ FLUENCE,RN,"816604,0","939094,6"
35914,R035255A--          ,ALARGUE BUJIAS ROSCA CORTA      RENAULT VS,RN,"5940,0","6831,0"
35915,R035255B--          ,ALARGUE BUJIAS ROSCA LARGA       RENAULT VARIOS,RN,"6187,5","7115,63"
35916,R035503---          ,ANTENA TECHO REGULABLE NEGRA 80CM RENAULT (TODOS),RN,"44624,0","51317,6"
35917,R0355032--          ,ANTENA TECHO    KANGOO SIN CABLE,RN,"31401,67","36111,92"
35918,R035505---          ,ANTENA  TECHO (FIBRA DE VIDRIO) 85 CM  RENAULT,RN,"16547,48","19029,6"
35919,R0355052--          ,ANTENA TECHO  70CM    KANGOO,RN,"19340,0","22241,0"
35920,R1013281E-          ,ASIENTO DE VALVULAS (ESC)  R9/11  1.6,RN,"2445,0","2811,75"
35921,R10132826O,BOTADOR MECANICO F8Q/F9Q/K9K LOGAN/SANDERO,RN,"39798,0","45767,7"
35922,R1013282E-          ,ASIENTO DE VALVULAS (ESC)  R 12  1.4,RN,"2441,0","2807,15"
35923,R101328--O,BOTADOR VALVULA ORIG KOLEOS,RN,"20261,0","23300,15"
35924,R10132912O,VALVULA REGULADOR PASTILLA[7950] ORIG,RN,"3256,0","3744,4"
35925,R10132913O,VALVULA REGULADOR PASTILLA[8000] ORIG,RN,"6682,0","7684,3"
35926,R10132914O,PASTILLA REG. VALVULA.[7975] ORIG LOG/SAND II/DUST,RN,"7773,0","8938,95"
35927,R10132915O,"Pastilla Regulacion Val.(3,85) ORIG Master",RN,"5691,0","6544,65"
35928,R10132916O,BOTADOR VALVULAS MOTOR ORIG CLIO II,RN,"21450,0","24667,5"
35929,R1013294-O,GUIA VALVULA ESCAPE ORIG KOLEOS,RN,"12701,0","14606,15"
35930,R1013295--          ,GUIA VALVULA ADM/ESC (BRONCE) CLIO DSL K9K,RN,"11642,97","13389,42"
35931,R1013297--          ,GUIA VALVULA ADM/ESC (BRONCE) MASTER G9U/G9T,RN,"13432,22","15447,05"
35932,R1013297-O,VALVULA REGULADOR PASTILLA[7725] ORIG,RN,"4872,0","5602,8"
35933,R10522919O,TORNILLO FIJACION CONS PALANCA CAMB ORIG CLIO II,RN,"611,0","702,65"
35934,R10301110O,BLOCK MOTOR C/PISTONES (K4M) ORIG,RN,"10073722,0","11584780,3"
35935,R1030111-O,BLOCK MOTOR (VQ35DE) ORIGINAL LATITUDE,RN,"3980146,0","4577167,9"
35936,R1030119-O          ,BLOCK MOTOR (F4R / 730) ORIG CLIO II,RN,"12308152,0","14154374,8"
35937,R103011--O,BLOCK SEMI ARMADO (F4R) ORIG DUSTER,RN,"887342,0","1020443,3"
35938,R10305110O,GRAMPA CLIP PLASTICA CARROCERIA / MECANICA,RN,"1201,0","1381,15"
35939,R10305113O,RETEN ARBOL LEVAS 33X44X7 ORIG,RN,"12095,0","13909,25"
35940,R10305115O,BANCADA (65.978) (L7X) ORIG LAGUNA II,RN,"27826,0","31999,9"
35941,R10305116O,RETEN BOMBA ACEITE ORIG CLIO II / LAGUNA I Y II,RN,"6352,0","7304,8"
35942,R10305118O,RETEN CIGUENAL ORIG LAGUNA,RN,"9401,0","10811,15"
35943,R10305119O,RETEN DEPOSITO ORIG,RN,"1394,0","1603,1"
35944,R10305121O,RETEN FRENO TRAS ORIG KOLEOS,RN,"33605,0","38645,75"
35945,R10305122O,REPARACION FRENO TRAS ORIG KOLEOS,RN,"45507,7","52333,86"
35946,R10305124O,RETEN ORIG MASTER II,RN,"7528,0","8657,2"
35947,R10305110-          ,RETEN BANCADA (324S) TWINGO 1.2 D7F CLIO2 D4F 06/,RN,"11917,81","13705,48"
35948,R1030511-S          ,RETEN BANCADA SABO 4185  R18/21/TRAFIC/FUEGO/J5T,RN,"681,75","784,01"
35949,R10305122S          ,RETEN BANCADA SABO 5819                     MASTER,RN,"25724,16","29582,78"
35950,R10305126O,JUNTA CHUPADOR BOMBA ACEITE (D4F) ORIG CLIO II,RN,"2691,0","3094,65"
35951,R1030513-J          ,RETEN BANCADA (3507 ) R18/TRAF1.6-1.4/TW 1.4,RN,"15933,85","18323,93"
35952,R1030513-O,JGO RETENES (G8T) ORIG MASTER,RN,"37215,0","42797,25"
35953,R1030513-S          ,RETEN BANCADA SABO 5420 R-18/21/TRAFIC/FUEGO 2.0**,RN,"21422,88","24636,31"
35954,R1030514-O,RETEN CAJA TRANF (34X56X21)(H5F) ORIG MEGANE III,RN,"16758,0","19271,7"
35955,R1030514-S          ,RETEN BANCADA SABO 5601   RENAULT1.6 K7M-K4M-N9K,RN,"21589,92","24828,41"
35956,R1030515-N          ,RETEN BANCADA -POLIACRILICO-  CLIO/MEG/SAND/KANGOO,RN,"8467,0","9737,05"
35957,R1030515-O,RETEN EJE TRAS ORIG KANGOO,RN,"6452,0","7419,8"
35958,R1030516-S          ,RETEN BANCADA (5599) -SABO- TWINGO/CLIO 2/KANGOO**,RN,"11149,92","12822,41"
35959,R1030517-J          ,RETEN BANCADA (222 S) R19/EXP/TRAF/KANG/MEG,RN,"18569,68","21355,13"
35960,R10308510S          ,RETEN ARBOL LEVAS SABO 5688/ex5093   R11/12 M1.4**,RN,"10523,52","12102,05"
35961,R10308511S          ,RETEN ARBOL LEVAS SABO 5795  CLIO/SC/MEG/K4M/K9K**,RN,"7997,04","9196,6"
35962,R10308512O,RETEN ARBOL LEVAS (G8T) ORIG LAGUNA,RN,"20184,0","23211,6"
35963,R10308515O,RETEN DIFERENCIAL DER ORIG LOGAN/SANDERO/DUSTER,RN,"46379,69","53336,64"
35964,R1030851-S          ,RETEN CIGUEÑAL SABO 2962       KANGOO/CLIO/LOGAN**,RN,"7704,72","8860,43"
35965,R10308520S          ,RETEN ARBOL LEVAS-SABO- 5516 F3R 2.0 8v/F9Q 1.9 8v,RN,"8999,28","10349,17"
35966,R10308521S          ,RETEN DELANTERO CIGUEÑAL 5937 2.5 16v MASTER TRAFI,RN,"16286,4","18729,36"
35967,R10308523S          ,RETEN DELANTERO CIGUEÑAL 5960 2.3 16v MASTER TRAFI,RN,"36393,84","41852,92"
35968,R10308524S          ,RETEN DISTRIBUCION SABO 5965 H4M     LOGAN-SANDERO,RN,"8894,88","10229,11"
35969,R10308525C,RETEN ARB. DE LEVAS FLUENCE *82036652,RN,"30253,95","34792,04"
35970,R1030852-J          ,RETEN DISTRIBUCION   TWINGO/CLIO 2/MIO/D4F/D7F,RN,"9215,23","10597,51"
35971,R1030852-O,RETEN ARBOL LEVAS TRAS ORIGINAL R-19 1.7/1.8,RN,"31326,0","36024,9"
35972,R10308532C,RETEN ARB. DE LEVAS LAGUNA 3.0 *82018317,RN,"32380,43","37237,49"
35973,R1030853-S          ,RETEN DISTRIB.SABO 5600  MEG/KANG/SAND/DUST**,RN,"10794,96","12414,2"
35974,R1030856AS          ,RETEN EJE INTERMEDIO (1535)-SABO-         R18 M2.0,RN,"5992,56","6891,44"
35975,R1030856-J          ,RETEN DISTRIBUCION R18/TRAF/TW 1.6-1.4,RN,"3682,71","4235,12"
35976,R1030856-S          ,RETEN DISTRIBUCION SABO 5659   R18/21/TRAF/CLIO**,RN,"14741,28","16952,47"
35977,R1030858-S          ,RETEN ARBOL LEVAS SABO 5516 ex 4239          R19,RN,"8999,28","10349,17"
