seccion,proveedor_id,proveedor,total_repuestos,sin_descripcion,repuesto_mas_caro_id,repuesto_mas_caro_codigo,repuesto_mas_caro_precio,marca,promedio_precio_marca
marca,,,,,,,,TACSA,623.33
marca,,,,,,,,TAILLOT,37916.42
marca,,,,,,,,TECA,9726.75
marca,,,,,,,,TORMOTRIZ,9581.0
marca,,,,,,,,TRICO,15314.8
marca,,,,,,,,VALTHIA,4548.43
marca,,,,,,,,VARGA,14354.0
marca,,,,,,,,VERKEHR,19681.33
marca,,,,,,,,VINI-LITE,6736.5
marca,,,,,,,,WEGA,6507.67
marca,,,,,,,,X9-BAUD MOL,6001.39
marca,,,,,,,,X9-BAUD-MOL,3137.5
marca,,,,,,,,ZEN,28312.88
marca,,,,,,,,nan,29969.45
,,,,,,,,,
proveedor,9,AutoRepuestos Express,15648.0,0.0,47575.0,7EM1123,1115542.49,,
marca,,,,,,,,BENDIX,34090.9
marca,,,,,,,,BUFFALO,4851.12
marca,,,,,,,,CONTINENTAL CON,24973.33
marca,,,,,,,,COOPER,21471.66
marca,,,,,,,,CORVEN,91025.99
marca,,,,,,,,C`J,51343.38
marca,,,,,,,,DAYCO,53812.81
marca,,,,,,,,DAYCO DR,6806.17
marca,,,,,,,,DENSO,68433.06
marca,,,,,,,,FAP,24028.48
marca,,,,,,,,FGH,21686.34
marca,,,,,,,,FLEXO,19834.89
marca,,,,,,,,FLORIO,16201.3
marca,,,,,,,,FREHA,5712.02
marca,,,,,,,,FRI-MA,18682.71
marca,,,,,,,,GENY,6773.17
marca,,,,,,,,GESPANNT,49668.96
marca,,,,,,,,GOODYEAR,14872.72
marca,,,,,,,,HIPPER FREIOS,63888.07
marca,,,,,,,,ICSA,11499.32
marca,,,,,,,,JAP,21853.02
marca,,,,,,,,JURID,41739.43
marca,,,,,,,,KESSEL,13104.25
marca,,,,,,,,KUGELLAGER,46002.45
marca,,,,,,,,LENA,28748.31
marca,,,,,,,,LITTON,25913.32
marca,,,,,,,,LOCKHART,5555.04
marca,,,,,,,,MASTERFILT,18554.82
marca,,,,,,,,MH,10680.12
marca,,,,,,,,MOPAR,13185.59
marca,,,,,,,,MTA,22529.8
marca,,,,,,,,OMER,54050.3
marca,,,,,,,,PROBRAKE,19156.52
marca,,,,,,,,RAMO,9259.67
