id,codigo,descripcion,proveedor,precio_actual,precio_actualizado
47378,6PR8148,PARRILLA,AutoRepuestos Express,"88323,16","114820,11"
47389,6PR8166,PARRILLA,AutoRepuestos Express,"56631,17","73620,52"
47390,6PR8168,PARRILLA,AutoRepuestos Express,"85572,69","111244,5"
47391,6PR8169,PARRILLA,AutoRepuestos Express,"85572,69","111244,5"
47392,6PR8170,PARRILLA,AutoRepuestos Express,"55194,14","71752,38"
47393,6PR8174,PARRILLA,AutoRepuestos Express,"55194,14","71752,38"
47394,6PR8175,PARRILLA,AutoRepuestos Express,"55194,14","71752,38"
47403,6PR8273,PARRILLA,AutoRepuestos Express,"62239,72","80911,64"
47405,6PR8280,PARRILLA,AutoRepuestos Express,"55513,46","72167,5"
47406,6PR8281,PARRILLA,AutoRepuestos Express,"55513,46","72167,5"
47407,6PR8282,PARRILLA,AutoRepuestos Express,"68158,94","88606,62"
47408,6PR8284,PARRILLA,AutoRepuestos Express,"86771,93","112803,51"
47409,6PR8285,PARRILLA,AutoRepuestos Express,"86771,93","112803,51"
47410,6PR8286,PARRILLA,AutoRepuestos Express,"63394,13","82412,37"
47413,6PR8292,PARRILLA,AutoRepuestos Express,"81594,01","106072,21"
47414,6PR8293,PARRILLA,AutoRepuestos Express,"80652,21","104847,87"
47430,6PR8366,PARRILLA,AutoRepuestos Express,"73428,44","95456,97"
47431,6PR8367,PARRILLA,AutoRepuestos Express,"81587,14","106063,28"
47434,6PR8371,PARRILLA,AutoRepuestos Express,"73624,67","95712,07"
47455,6PR8413,PARRILLA,AutoRepuestos Express,"74812,73","97256,55"
47456,6PR8414,PARRILLA,AutoRepuestos Express,"67331,46","87530,9"
47457,6PR8418,PARRILLA,AutoRepuestos Express,"60109,43","78142,26"
47461,6PR8423,PARRILLA,AutoRepuestos Express,"63371,48","82382,92"
47462,6PR8424,PARRILLA,AutoRepuestos Express,"63371,48","82382,92"
47463,6PR8432,PARRILLA,AutoRepuestos Express,"78294,65","101783,05"
47464,6PR8433,PARRILLA,AutoRepuestos Express,"76571,85","99543,41"
47465,6PR8434,PARRILLA,AutoRepuestos Express,"73637,53","95728,79"
47466,6PR8439,PARRILLA,AutoRepuestos Express,"82571,68","107343,18"
47471,6PR8471,PARRILLA,AutoRepuestos Express,"74588,79","96965,43"
47474,6PR8481,PARRILLA,AutoRepuestos Express,"81265,06","105644,58"
47475,6PR8483,PARRILLA,AutoRepuestos Express,"86353,89","112260,06"
47476,6PR8484,PARRILLA,AutoRepuestos Express,"86353,89","112260,06"
47479,6PR8502,PARRILLA,AutoRepuestos Express,"83929,07","109107,79"
47489,6PR8561,PARRILLA,AutoRepuestos Express,"74186,21","96442,07"
47490,6PR8562,PARRILLA,AutoRepuestos Express,"74186,21","96442,07"
47491,6PR8563,BRAZO,AutoRepuestos Express,"50439,26","65571,04"
47492,6PR8564,BRAZO,AutoRepuestos Express,"50439,26","65571,04"
47498,6PR8610,PARRILLA,AutoRepuestos Express,"78133,64","101573,73"
47504,6PR8636,PARRILLA,AutoRepuestos Express,"72802,41","94643,13"
47505,6PR8640,PARRILLA,AutoRepuestos Express,"80772,01","105003,61"
47507,6PR8649,PARRILLA,AutoRepuestos Express,"62325,79","81023,53"
47509,6PR8655,PARRILLA,AutoRepuestos Express,"89289,53","116076,39"
47510,6PR8658,PARRILLA,AutoRepuestos Express,"88136,26","114577,14"
47511,6PR8659,PARRILLA,AutoRepuestos Express,"88136,26","114577,14"
47527,6PR8691,PARRILLA,AutoRepuestos Express,"70333,86","91434,02"
47529,7EM1002SC,KIT EMBRAGUE,AutoRepuestos Express,"83323,74","108320,86"
47545,7EM1032,KIT EMBRAGUE,AutoRepuestos Express,"88863,1","115522,03"
47547,7EM1039,KIT EMBRAGUE,AutoRepuestos Express,"87244,57","113417,94"
47574,7EM1121,KIT EMBRAGUE,AutoRepuestos Express,"69949,42","90934,25"
47593,8CM0009,CAJA DE DIRECCION CREMALLERA,AutoRepuestos Express,"50855,05","66111,57"
47664,093SP+254H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"71582,09","93056,72"
47666,095SP254H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"61263,97","79643,16"
47673,103SP220H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"56807,69","73850,0"
47677,104SP240H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"63438,26","82469,74"
47678,104SP254H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"65251,62","84827,11"
47680,106SP240H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"69084,79","89810,23"
47681,107SHP+180H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"58656,95","76254,04"
47686,109SP220H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"59391,41","77208,83"
47687,110SP254H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"83423,23","108450,2"
47692,111SP254H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"87050,21","113165,27"
47694,112SP240H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"73102,84","95033,69"
47696,113SP190H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"78209,32","101672,12"
47699,117SHP+210H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"70387,7","91504,01"
47700,117SHX254,CORREA DE DISTRIBUCION,AutoRepuestos Express,"67217,3","87382,49"
47701,117SP+220HT,CORREA DE DISTRIBUCION,AutoRepuestos Express,"58117,99","75553,39"
47706,119SHX320H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"59791,19","77728,55"
47709,120SP300HT,CORREA DE DISTRIBUCION,AutoRepuestos Express,"88570,39","115141,51"
47710,121SHP+210H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"59639,39","77531,21"
47711,121SHP+240H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"66477,63","86420,92"
47716,122SHX190H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"56050,06","72865,08"
47717,122SHX260H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"60960,39","79248,51"
47718,122SHX265H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"78209,32","101672,12"
47719,122SP290H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"82764,88","107594,34"
47722,123SP280H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"84171,62","109423,11"
47733,130STP8M200H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"65776,0","85508,8"
47737,133SP260H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"68073,27","88495,25"
47740,134SHPN180H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"56079,94","72903,92"
47741,134SP254H2,CORREA DE DISTRIBUCION,AutoRepuestos Express,"51743,21","67266,17"
47746,136SP+254H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"64236,18","83507,03"
47749,137SHX230H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"59679,32","77583,12"
47751,137STP8M190H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"50836,14","66086,98"
47752,137STP8M254H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"88637,01","115228,11"
47754,138SHPN150H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"53045,8","68959,54"
47761,149SHX300H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"53095,86","69024,62"
47763,150STP8M230H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"65263,82","84842,97"
47767,152SHX300,CORREA DE DISTRIBUCION,AutoRepuestos Express,"71022,61","92329,39"
47769,153SHDS300H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"72441,31","94173,7"
47770,153SP250HT,CORREA DE DISTRIBUCION,AutoRepuestos Express,"70891,45","92158,89"
47774,153SP270H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"81205,26","105566,84"
47784,168SHP+254H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"80816,21","105061,07"
47786,168SHPN220H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"65989,29","85786,08"
47788,173SHP220,CORREA DE DISTRIBUCION,AutoRepuestos Express,"59552,98","77418,87"
47789,173SHP254,CORREA DE DISTRIBUCION,AutoRepuestos Express,"57064,42","74183,75"
47797,211SHP+300H,CORREA DE DISTRIBUCION,AutoRepuestos Express,"77091,29","100218,68"
47801,APV1007,TENSOR,AutoRepuestos Express,"54158,72","70406,34"
47802,APV1010,TENSOR,AutoRepuestos Express,"66239,82","86111,77"
47804,APV1032,TENSOR,AutoRepuestos Express,"55819,21","72564,97"
47805,APV1044,TENSOR,AutoRepuestos Express,"88379,04","114892,75"
47812,APV2890,TENSOR,AutoRepuestos Express,"59216,47","76981,41"
47814,APV2926,TENSOR,AutoRepuestos Express,"81981,2","106575,56"
47816,ATB1006,TENSOR,AutoRepuestos Express,"88196,78","114655,81"
47818,ATB2015,TENSOR,AutoRepuestos Express,"63511,97","82565,56"
47819,ATB2016,TENSOR,AutoRepuestos Express,"64650,83","84046,08"
47820,ATB2019,TENSOR,AutoRepuestos Express,"59263,26","77042,24"
47822,ATB2022,TENSOR,AutoRepuestos Express,"62854,97","81711,46"
47825,ATB2039,TENSOR,AutoRepuestos Express,"82529,91","107288,88"
47826,ATB2040,TENSOR,AutoRepuestos Express,"68663,67","89262,77"
